portfolio,objective,annualised_return,annualised_vol,rank,is_qaoa,is_classical_best
AMGN / COST / GOOGL,1.261271292445,0.247744791364,0.166854297157,1,False,True
COST / CSX / GOOGL,1.320968347735,0.230661034431,0.167205439631,2,True,False
AMGN / COST / CSX,1.492087174794,0.115148822770,0.159753875066,3,False,False
AMGN / CSX / GOOGL,1.636502124000,0.212823843740,0.177755045843,4,False,False
AAPL / COST / CSX,1.684349064715,0.155388677710,0.172824376891,5,False,False
AAPL / AMGN / COST,1.739683575022,0.172472434643,0.177055424426,6,False,False
AAPL / COST / GOOGL,1.896829795754,0.287984646304,0.195816798404,7,False,False
AAPL / AMGN / CSX,2.071123127289,0.137551487018,0.185733440579,8,False,False
AAPL / AMGN / GOOGL,2.095952970714,0.270147455613,0.200914414392,9,False,False
AAPL / CSX / GOOGL,2.155224908186,0.253063698679,0.201191451256,10,False,False
AMD / AMGN / COST,3.394478011392,0.215353654052,0.236893640385,11,False,False
AMD / COST / CSX,3.507209129655,0.198269897118,0.238689094064,12,False,False
AMD / AMGN / CSX,3.819555969882,0.180432706427,0.246104485748,13,False,False
AMD / COST / GOOGL,4.062447657686,0.330865865713,0.264969737654,14,False,False
AAPL / AMD / COST,4.179944199602,0.255593508991,0.262115451836,15,False,False
AMD / AMGN / GOOGL,4.187143610299,0.313028675022,0.266828847437,16,False,False
AAPL / AMD / AMGN,4.375880438525,0.237756318300,0.265862051569,17,False,False
AMD / CSX / GOOGL,4.414481176340,0.295944918088,0.271372947830,18,False,False
AAPL / AMD / CSX,4.488186438969,0.220672561367,0.267452075745,19,False,False
AAPL / AMD / GOOGL,5.299070692774,0.353268529961,0.297182984284,20,False,False
